airline_sentiment	airline	text
negative	US Airways	"@USAirways comin in clutch and sending me to Charlotte then home, I h8 u @AmericanAir, except for Wayne u a real g #ThankJesus #ThankMe"
neutral	US Airways	@USAirways this very pregnant lady's hoping &amp;praying hubbys flight from BWI gets off the ground! I'd like him to get here before baby does!
neutral	US Airways	@USAirways Ok Thanks
negative	US Airways	"@USAirways Every time I try, the line is disconnected b/c the system says you have too many calls. Glad your screw up matters so much to you"
negative	US Airways	"@USAirways, another hour gone &amp; they sit with more snow on them! Seriously?! http://t.co/Fupf0UAyir"
negative	US Airways	"@USAirways already did. I travel for a living, no help at all that it will take 3-4 weeks for any repair. And I have to pay to ship to TX."
negative	US Airways	"@USAirways We did. @AmericanAir said to open one with you, too."
negative	US Airways	@USAirways ...be found when he checks in. Now no info. Please DM me and help me fix this NOW. (3/3)
negative	US Airways	"@USAirways to a booked hotel for the night so I had to find him a room at midnight. Then say his bags will be on the plane, but can't (2/3)"
negative	US Airways	@USAirways This is ridiculous. You delayed my husband's flights &amp; made him miss his connection. Told him to leave his bags. Sent him (1/3)
negative	US Airways	@USAirways Been tweeting with the team at @AmericanAir who informed me that the problem is that you never sent his bags to them yesterday.
negative	US Airways	@USAirways- can you tell me what the policy is for preboarding with small children? Is that still a thing?
negative	US Airways	@USAirways Your Baggage system has hung up on me twice because you have too many callers. I NEED TO FIND MY HUSBAND'S (@SweetingR) BAGS.
negative	US Airways	@USAirways haven't eaten all day either so lemme get that CC# so I can buy a burger across from the terminal.  #DoBetter @UsAirwaysSuck
negative	US Airways	@USAirways looking forward to waiting on hold for 9 hrs to reschedule my flight.  Bunch of idiots work for this airline.
positive	US Airways	@USAirways  big thank you to your ticketing agent Ute V at Dulles-Washington for OUTSTANDING guest service to get me rebooked
negative	US Airways	@USAirways you guys straight up suck ass
negative	US Airways	"@USAirways still Effin waiting... Not weather delays, not engine trouble, but lack of crew?  Are you shitting me?"
positive	US Airways	@USAirways I love you guys!!!
negative	US Airways	@USAirways   my miles will expire on 2/29 and it could take someone 10 days to respond...I have over 150000 miles that I do not lose i❤usair
negative	US Airways	@USAirways i have been trying ALL WEEK to book a multi city award trip (can't book online) I'm told to call back some other time. What?!?
negative	US Airways	@USAirways what am I paying you $275 for?   Fly the damn plane!  Not one announcement from the crew.  Let me know how you wanna refund me.
negative	US Airways	@USAirways -beg to differ. 4 things booked wrong and still not fixed. Get your act together! #USAirSucks
neutral	US Airways	"@USAirways, can't control weather/flight attendant.Can control this-green ACU bag, 1.5 hrs &amp; counting! Yep that's me! http://t.co/0jUtCDRLjl"
negative	US Airways	"@timbennettg3 @USAirways Cancelled Flightled 4532 sch departure 8:38 am, wasn't snowing yet and other flights were still leaving #Fail"
negative	US Airways	@USAirways  And now your half assed plane is falling apart. Some one tell my family I love them! #DoBetter http://t.co/UA6doUA34l
negative	US Airways	@USAirways is the 7th circle of hell right after the dmv. #noshadetothedmv
negative	US Airways	@USAirways thanks for the seat that doesn't recline. I'm shocked I'm not being asked to serve everyone drinks on the plane.  #DoBetter
negative	US Airways	@USAirways it's been three weeks since I was specifically told I would get a call back from your folks in AZ- should I keep being patient?
negative	US Airways	@USAirways #Unbelievable that for 2 consecutive days I can't get through to a person.  On hold over 2 hours and still going
negative	US Airways	@USAirways you are cutting into my pregame time.  Go @KentuckyMBB !!!!
positive	US Airways	@USAirways Can't wait for the trip. Thanks for getting me there!
negative	US Airways	@USAirways What's the seat assignment policy? Why let us choose a seat only to change it on us two weeks Late Flightr?
negative	US Airways	"@USAirways Yes, it's February. Bad weather happens every winter. If you guys don't have the business sense to forecast that I'm at a loss."
negative	US Airways	@USAirways I called twice the recording says that it has being delivered to my apt but it is not here ?
negative	US Airways	@USAirways  in don't have it on me at the time as I am taking Amtrak home. How do we call for partial refunds?
negative	US Airways	"@USAirways 4+ hour hold, finally Cancelled Flighted ticket! sticking to @delta @Expedia who allow easy online Cancelled Flights/refunds! http://t.co/RKVCZBpdCE"
negative	US Airways	@USAirways Hold time to book award travel from Gold status: 4 HOURS and counting!!!! + 4 days of calling #usairwaysfail @AmericanAir
negative	US Airways	@USAirways now what? You Cancelled Flightled my flight again... Are you paying for my hotel?
positive	US Airways	@USAirways your team member at DCA- Tamara R. is her name was awesome. You should have more employees like her!
positive	US Airways	@USAirways thanks for getting us on ur plane. Awesome flight attendant who is making us smile after difficult travel. #customerservice
negative	US Airways	"@USAirways had baggage lost last night, no call from us airways and no bags and nobody answering phone #badcustomersrvice #whereismybag"
negative	US Airways	"@USAirways if my flight's been Cancelled Flightled, and I can't reach anyone over the phone or ticketing agents, safe to assume I wasn't rebooked?"
negative	US Airways	@USAirways @AmericanAir WHERE IS MY BAG ?#SOS ITIS BEING LOST FOR MORE THAN 24 HOURS ! #POORCUSTUMERSERVICE
neutral	US Airways	@USAirways How does flight 680 look? I'm hearing about Cancelled Flightled departures from @Reagan_Airport and I'm about to head into it
negative	US Airways	@USAirways @AmericanAir Is there a way to reserve a veg meal online for a flight to Brazil tomorrow? I've been onhold for more than 1 hour.
negative	US Airways	@USAirways rebooked me after i missed my flight..never called me and i didnt check my email.  I (cont) http://t.co/uTfDhxa8pU
negative	US Airways	@USAirways #SOS WHERE IS MY BAG ?
negative	US Airways	@USAirways been on hold for 39 minutes and counting for a month old change fee refund request for a funeral.  This is pathetic.
negative	US Airways	"@USAirways after 5 flight Cancelled Flightlations we finally get a flight, get to the gate on time &amp; you've given our seats away? Seriously??"
negative	US Airways	@USAirways the American Eagle plane you're using for CLT to RDU is disgusting! You should be ashamed! #disgusting #ew http://t.co/B4xhiRuGzV
negative	US Airways	@USAirways undermines the intelligence of customers by ignoring their complaints with their copy and paste canned responses #usairwaysfail
negative	US Airways	@USAirways providing poor customer service by responding to complaints with a copy and paste tempLate Flight unreLate Flightd to complaint #usairwaysfail
negative	US Airways	@USAirways I've been on hold for over 2 1/2 hours - there has to be an easier way to Cancelled Flight/get a refund... 😑😩 http://t.co/Cm4roIypc2
negative	US Airways	@USAirways enormous lines at customer service and two agents what kind of service is that .. http://t.co/ffanixJhwh
negative	US Airways	@USAirways Inexcusable behavior by gate agent. Sorry isn't enough. #Flight850 #CLT-#BNA
negative	US Airways	@USAirways chose you for a flight with very time sensitive arrival And you drop the ball. What gives? CLT #667 good way to lose my business
negative	US Airways	@USAirways I'm trying to Cancelled Flight my flight within the 24hr window but have been on hold for over an hour. Is there an alternate # I can dial?
negative	US Airways	@USAirways i've been on hold for an hour trying to change my flight!!! COME ON
negative	US Airways	@USAirways what happens if the flight takes off before we Cancelled Flight?? That's the issue. We don't want to pay because of your inaccessibility!
negative	US Airways	"@USAirways I'm assisting @marccopely. He is already rebooked. Agents rude, unhelpful, discourteous. #FrequentFlyers appalled. Unacceptable!!"
negative	US Airways	@usairways  this is ridiculous at CLT  and we missed our connecting flight because of a chuckhole  on runway??  #shameful (1/1)
negative	US Airways	@USAirways Look at that. The flight I have been trying to book for 3 days is gone. I guess someone got through. Thanks! Keep up the #Failing
negative	US Airways	@USAirways no one at #clt knows about runway issues..my inbound flight was only one delayed..connection left without me..now I'm stuck!
negative	US Airways	@USAirways flight 850. RUDE RUDE RUDE service! Awful.
neutral	US Airways	@USAirways what is contact info to upgrade using advantage miles?
neutral	US Airways	@USAirways @shivadelrahim what about upgrades?
negative	US Airways	@USAirways what is with all the Cancelled Flightlations to PBI? We have pax at DCA that have been sent to 4 different lines between AAL and AWE. Help!
negative	US Airways	@USAirways so I still need to stay on hold? http://t.co/04SDytT7zd
neutral	US Airways	@USAirways how do you have only 1 flight into lexington this afternoon with the #1 @KentuckyMBB playing a big game tonight?  #DoBetter
negative	US Airways	"Hey @USAirways based on the number of retweets and likes on my FB post, it's nice to know I'm not alone in my frustrations with you guys!"
negative	US Airways	@USAirways seems to be the only airline without a dedicated line for status members
neutral	US Airways	@USAirways Flight 1815 (N747UW) arrives at @FlyTPA following flight from @PHLAirport http://t.co/TtLwZgIyAg
negative	US Airways	@usairways I just learned that although there is travel policy and they waive the change fee-you will still be charged a $25 reservation fee
positive	US Airways	"@USAirways Stars aligned. Connecting flight was delayed into CLT. Made it! Thanks, glad to know someone is listening. Time for 80° in MoBay!"
negative	US Airways	@USAirways if one with @AmericanAir why can't you use American miles????
negative	US Airways	@USAirways why cant Sapphire members reach anyone on the phone?
negative	US Airways	@USAirways gold desk quoting me $900 to rebook due to weather. Can buy first seat on same flight for $440. Why? On hold for 45+ mins now
negative	US Airways	@USAirways @PRof_Solutions Be prepared for 3+ hours hold times
negative	US Airways	@USAirways Sadly your words don't represent your company's actions. Talk is cheap.
negative	US Airways	@USAirways trying to Cancelled Flight a flight urgently...get hung up on twice??? Sweet refund policy
negative	US Airways	@USAirways @SeanVRose Sean - keep in mind if you call...plan on being on hold for 3+ hours
neutral	US Airways	@USAirways - what is your policy regarding large-size passengers who cannot fit into a single coach class seat?
negative	US Airways	"@USAirways ""Owen F"" at DCA Gate 42: #rude."
negative	US Airways	@USAirways  ! THE WORST in customer service. @USAirways ! Calling for over a month to book a flight! #poorcustomerservice #usairwaysfflyer
negative	US Airways	@USAirways on hold for 30 minutes &amp; counting to Cancelled Flight reservation booked within 24 hours - can I do it here? conf code: F6DK04 / XZMSCW
negative	US Airways	@usairways - thanks for the 5+ hour flight from PIT to PHX with zero entertainment. Guess why I have a quarter million + miles on Delta
negative	US Airways	@usairways I get extended hold times due to the weather...but 2-1/2 hours on hold (and counting). HELP!!
negative	US Airways	@USAirways Official time of call 3 hours 10 minutes but must add for 7 minutes your reservation agent was extremely professional and helpful
negative	US Airways	@USAirways - I'm currently missing a basketball game due to your lost bag policy #terribleservice #wheresmyrefund
negative	US Airways	@USAirways your flight attendants are all jerks 🐳
negative	US Airways	@USAirways Easily the most ridiculous experience trying to spend money with your company.
negative	US Airways	@USAirways Was told it was a software bug. Told to call back this AM  Now your system is too busy to handle any calls this AM.  Clown shoes.
negative	US Airways	@USAirways - been on hold with reservations for over 30 min already! #worstairline
negative	US Airways	@USAirways now the 3rd issue with the plane is a fuel leak. They will let us know soon what they decide. #getmeoffthisplane #ineedabeer
negative	US Airways	@USAirways @franchise02 my friend has been on hold for 1.5 hours and still counting!
neutral	US Airways	@usairways Does anyone know the hold times for USAirways reservations?
negative	US Airways	"@USAirways flight 813 DCA to CLT stuck waiting on CLT ATC. Cmon #FAA Missing flt 826 CLT to MBJ, hope you can rebook me! 816?"
negative	US Airways	"@usairways when trying to check-in online, it says to call...now I've been on hold for 2 hours...what to do?"
negative	US Airways	@USAirways how long are you going make us sit in this plane while they repair it? Could I at least get a beer???
negative	US Airways	@usairways I've been on hold for approaching 2 hrs for an issue when I changed my ticket online. Frustrating.
negative	US Airways	"@USAirways on hold for 1hr, 30min. Not willing to hang in there as long as @franchise02. @AmericanAir answered in 7 min. U are not 1 yet."
neutral	US Airways	"@USAirways what's the point of email stating I didn't get bumped to 1st class? I know I'm not in first class, I booked the regular ticket"
negative	US Airways	@USAirways 2 hours and 7 minutes. Just want to know I'm still in the queue...
negative	US Airways	"@USAirways check in at St. Louis is so rude, even the TSA is nicer than them."
negative	US Airways	@USAirways so disappointed. Least you could do is give us access to admirals club for an hour before our flight to our wedding!
negative	US Airways	"@USAirways paid to upgrade to first class, went up to Admirals club at PHX airport to be turned away because our flight is to CUN and not MC"
negative	US Airways	@USAirways can you please post wait time-have been on hold for two hours
negative	US Airways	@USAirways Saying my friend missed her flight when she clearly sat next to me on the plane &amp; now you're Cancelled Flighting her flight home.. WTF!?
negative	US Airways	@USAirways or is anyone even responding to social media? AWFUL.
positive	US Airways	@USAirways a big thanks to the gate agent flt5127..keeping us informed of the delay#greatcustomerservice
negative	US Airways	"@USAirways I'm on vacation, This is the LAST thing I want to be doing. Is anyone even answering the phone?"
negative	US Airways	@USAirways I fucking hate your customer service. I've been on hold all morning trying to figure out why you Cancelled Flighted my flight.
negative	US Airways	@USAirways DCA to RSW at 8:30am Cancelled Flightled.  Rebook to Charlotte Cancelled Flightled.  Can we rebook selves online???
negative	US Airways	@USAirways how do I find an email address regarding reativation of dividend miles. Nothing on website
negative	US Airways	@USAirways baggage drop at phl b/c is incredibly backed up... unacceptable service
neutral	US Airways	"@USAirways we're glad to hear it. Out of curiosity, what causes such flight patterns?"
negative	US Airways	"@USAirways trying 2 fly frm DCA to SRQ to visit a family member in hospice but 4532 was Cancelled Flightled, can someone assist me?"
negative	US Airways	"@USAirways I don't want a reservation change, just adding a service. Am going public with this to get help."
negative	US Airways	"All followers please note that @USAirways is not taking customer service calls, nor responding by helping via soc. media #dontflyusairways"
negative	US Airways	"@USAirways your checkin at @PHLAirport is a #shitshow, and the agent behind the counter who tried to send me to the wrong destination=rude!"
negative	US Airways	@USAirways Sitting on the runway at phl for the last 30 min because the correct weights for the flight aren't in the system? #jobfail
neutral	US Airways	@USAirways So no idea? Thanks...
negative	US Airways	"@USAirways any guesstimate on hold times? Can't change my flight online, at 45 mins and counting..."
negative	US Airways	@USAirways Trying to change my flight due to NYC travel advisory... your online system Cancelled Flighted my entire flight. Been on hold for over 1 hr
negative	US Airways	@USAirways yes. But the manner with which it was done was harsh for those affected. Already checked in. No remorse. Weak alternatives.
positive	US Airways	@USAirways ok. Thank you
negative	US Airways	@USAirways told to work it out ourselves #joke #fail
negative	US Airways	@USAirways incapable of seating a 2yo and mom together. Toddler in his own row #fail @CNN
negative	US Airways	@USAirways bumping people off a flight ten minutes before takeoff because the flight is overbooked #fail
negative	US Airways	@USAirways you call this a window seat? #airbus321seat14Fproblems http://t.co/ZKOE6clGiU
negative	US Airways	@USAirways is there a number to call to modify reservation.  Please help. Very frustrating with american and us air merger
negative	US Airways	@USAirways you've completely ruined a pro athlete's ability to prepare for a race. Now you won't help him get the bike he needs to the DR?!
negative	US Airways	@USAirways Cool. Now @SweetingR has been told you can't re-route his bags after he was told to leave them last night. He needs them to race.
negative	US Airways	"@USAirways quick, let's board a plane so that we can sit on runway for 2 hours #clockwork #scareways #neverfails @AUmilo1"
negative	US Airways	"@USAirways Also, get excited, because he's going to be unable to contact you all from his destination, so you get to talk to me."
negative	US Airways	"@USAirways flight 705 FRA-CAT did some odd zig-zagging movements over Frankfurt...
Is everything ok?"
negative	US Airways	"@USAirways It's pretty hilarious that you want @SweetingR to finish his awful experience before doing something. Make it right, now."
negative	US Airways	"@USAirways u would think if u were going to Cancelled Flight my flight, you'd rebook our seats to something other than the last row. #usairwaysfail"
negative	US Airways	@USAirways no online clearly states I can NOT- It says to call res. I already explained that.
negative	US Airways	@USAirways dealing w fam emergency. Was told was rebooked this am to AA flight 4297 out of ORD and now it's not in system. Need help ASAP.
positive	US Airways	"@USAirways Got it, thanks!"
negative	US Airways	"@USAirways Umm, can you define 'extra time'?"
neutral	US Airways	@USAirways International
negative	US Airways	"@USAirways Oh yes, because I had loads of time running to my connecting flight after you delayed me for about 90 minutes..."
negative	US Airways	"@USAirways Hey, my bag was damaged flying with you yesterday. What can I do?"
neutral	US Airways	"@USAirways landed at Phoenix, but we had to board a flight quickly to Vegas so no time at the airport. What now?"
neutral	US Airways	@USAirways I left something on a recent flight today. Who do I contact to retrieve it please? Thanks!
negative	US Airways	@USAirways @AmericanAir flight 849's four subsequent delays destroyed my travel plans this evening. Looking to resolve this matter.
negative	US Airways	@USAirways I did at 7 pm! Still no bag..
positive	US Airways	@USAirways Just spoke with a representative. Moved my flight earlier. Thank you so much for the follow up.
negative	US Airways	"@USAirways Congrats, you've just lost a customer for good. When I made a United weather change, free/5 min. You guys 2 hrs on hold &amp; $25."
negative	US Airways	@USAirways So when was I supposed to call the Internet Desk? Especially since my reservation told me to directly call the main 1-800 number?
negative	US Airways	@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic
negative	US Airways	@USAirways I've been on hold for 75 minutes waiting to talk to someone about my flight tomorrow. Is there another number to call?
negative	US Airways	@USAirways ...YOU ARE DESPICABLE! The flight plan was lost! Now we've been sitting on the tarmac for an hour! Its a 45 min flight!
positive	US Airways	@USAirways hey guys just want to say I had the best flight ever! Thank you so much. I fell asleep and actually had a wet dream.
negative	US Airways	@USAirways Can you help me update KTN on the profile?  Ticket book via AA &amp; that info didn't get pass on.  I've been on hold forever
negative	US Airways	@USAirways so you're not honoring miles with @united that were traveled last year?
neutral	US Airways	"@USAirways you need to check information regarding hotels, shuttles, re routing flights, delayed flights"
negative	US Airways	@USAirways I was eventually given a flight to Memphis but only after I was taken off my original flight bc I was checked in as my father
negative	US Airways	@USAirways How the heck does one get the Internet desk to authorize a waiver? Would that involved being on hold for another hour?
negative	US Airways	@USAirways so am I supposed to discuss this matter with a computer? #BadCustomerService #Airlines #DividendRewards
negative	US Airways	"@USAirways &gt;250k miles on usair.  Last four flights not good. Other airlines much improved. Billing issues, seats, legroom, in air service."
negative	US Airways	"@USAirways It says to call. Before connecting, get song, dance about weather. Weather bad 3 days? Called for 2 days before. #wasteoftime"
negative	US Airways	@USAirways REALLY? Tried that already-got message not available to do. Next idea?
negative	US Airways	@USAirways I'm glad you're sorry that I'm homeless for the night. Makes me feel secure.
negative	US Airways	@USAirways but in the meantime I'll be sleeping on a park bench on dadeland st.  Thanks guys!
neutral	US Airways	"@USAirways ah, and I was only given one shuttle voucher, so if I do ever get back to the airport you'll be getting the bill"
negative	US Airways	@USAirways wonder if this misery is considered a damage in a breach of contract lawsuit #lawyerup
negative	US Airways	"@USAirways but wait! They are booked, along with all other hotels nearby. I was sent anyway, to the hotel managers disbelief."
positive	US Airways	"@USAirways but don't worry! They found a hotel, it's only 45min away. I got there around 11:30pm, no problem."
negative	US Airways	@USAirways at which point in told they have sold my voucher because I wasn't fast enough
negative	US Airways	"@USAirways the kind gentleman at the gate tells me to ""go left"" to get my hotel voucher at the ticket gate. Took about 20min to get there"
negative	US Airways	@USAirways I have a story for you. It starts with a two hour delayed flight that makes me miss my connection in Miami.
neutral	US Airways	@USAirways No worries I was able to read @stephenrodrick entire book while holding. #TheMagicalStranger
negative	US Airways	@USAirways -doing best??? Think not. Lousy way to run an airline. Why no online way to connect? You be on hold for 2hrs &amp; then zip
negative	US Airways	@USAirways flight scheduled for 730pm...told at 150am that flight is Cancelled Flightled after sitting on cold plane for 2 hours.
negative	US Airways	@USAirways refuses to compensate passengers when inconvenienced and wouldn't even rebook me on another airline. #disappointed
negative	US Airways	@USAirways Can you tell me why I waited 90 mins and then was charged the $25 phone change fee even tho I wasn't allow to make change online?
negative	US Airways	@USAirways @stephenrodrick Your team needs to build capacity
negative	US Airways	@USAirways I will write CR. Not sure what good it'll do as the customer service I experienced was horrible.
negative	US Airways	@USAirways -1st x told no travel advisory-now TWO hrs on hold &amp; disconnected. Fl from BHM to Charlotte to PHL won't go-HELP!!!
negative	US Airways	"@USAirways Made about 30 calls to USAir today to merge of AAdvantage, Dividend Miles. Each time, says call back Late Flightr. #30timesenough"
negative	US Airways	@USAirways fuck you.
negative	US Airways	@USAirways I'm dumping this dividend miles card and forgetting your airline exists #ridiculous #theworstairlineever
negative	US Airways	@USAirways How dirty does the damn plane have to be to take an hour to get the plane cleaned??? Refund me my miles😡. #wasteoftime #theworst
negative	US Airways	@USAirways worst customer service I've ever experienced. I'll never fly your airline ever again. I have to pay to sleep in Philly. Fuck you.
negative	US Airways	@USAirways Ever sit on hold and just lose track of time? http://t.co/Yqhk8LJaBN
negative	US Airways	@USAirways us air should be ashamed of this service - on hold for hours? No help from any representative just to reschedule due to weather ?
negative	US Airways	"@usairways now on hold for an hour. So frustrating, I suspect you have more operators come in on days like this w/inclement weather?"
negative	US Airways	"@USAirways - the worst! Hold time crazy, agents horrible, no accountability! #USAIRsucks"
positive	US Airways	@USAirways Kudos to Robin at @PHXSkyHarbor Lost/Found for reuniting me w/ my iPad. She was delightful to work with!
negative	US Airways	"@USAirways Website won't let me change online even though airline issued travel advisory, now on hold for 50 minutes. Help."
negative	US Airways	"@USAirways  you were always my go to. What happened?  Airbus over Boeing, and now no customer service?"
negative	US Airways	@USAirways trying to change flight because of airline travel advisory. on hold for 45 mins. Help!
neutral	US Airways	@USAirways Can you help me add a AAdvantage number and known traveler number to a reservation?
negative	US Airways	@USAirways would be less annoying if road conditions weren't getting worse with every min U keep passengers captive for no good reason.
positive	US Airways	@USAirways experience exceptional service from Cherry at #DenverAirport.  #GreatService. #professionalism
negative	US Airways	"@USAirways literally the worst flying experience of my life, and I have flown a lot"
negative	US Airways	@usairways I purchased a $49 upgrade on a flight 2 weeks ago and you gave it to someone else but I have not received a refund. Is this SOP?
negative	US Airways	"@USAirways figure it out, have had 2 Cancelled Flightled flights in the past week. Now coming home 2 hour delay, and cart that pulls plane just broke"
negative	US Airways	@USAirways 45 minutes on hold no help
negative	US Airways	@USAirways transferred 4x pleeeeeeeease help!
positive	US Airways	@USAirways me too!
negative	US Airways	@USAirways flight #3797 treatment of passengers has been atrocious - over 2 hours delay only to now deplane and given no direction
neutral	US Airways	@USAirways I have corporate-paid travel in April. Is it possible to purchase an upgrade to first class now?
positive	US Airways	@USAirways you can thank supervisor Jeanine and her coworkers for the excellent customer service they provided
negative	US Airways	@USAirways only sympathy she offered was holding a reservation until Monday night. That's pretty awesome if you ask me...
negative	US Airways	@USAirways express my disappointment in your reservation department and the treatment of a Sailor dealing with a death in the family
neutral	US Airways	@USAirways that's who I spoke to already. We've already booked another flight w/someone else. Thanks for your concern. Just wanted to
negative	US Airways	@USAirways talked to Supervisor Jeanine and she couldn't help me. 45 minutes of talking to her and nothing.
negative	US Airways	@USAirways i thought @united was the worst airline but nah. You guys are far worse. Is @Delta the only decent airline out there?
negative	US Airways	"@USAirways @keithlaw  I flew US Air for the first time yesterday, got propositioned by the flight attendant....true story!  #Creditcardsales"
negative	US Airways	@USAirways 13 years of Naval Service and I run the travel department for all my commands...
negative	US Airways	@USAirways US Airways website. So you double charge people when they book flights now? Apparently you have but I've never been booked twice
negative	US Airways	@USAirways Already tried. How about Conf # via DM
negative	US Airways	"@USAirways new slogan should be ""if you don't want to arrive on time, pick us"""
negative	US Airways	@USAirways you have to be crazy! Treated my mom very poorly. Not happy! #usairwaysfail
negative	US Airways	@USAirways they weren't able to without reFlight Booking Problems and recharging the amount plus $25 fee for help over phone. Spoke to 2 agents &amp; Jeanine
negative	US Airways	@USAirways I will send an email with details Late Flightr. Thank you for responding.
negative	US Airways	@USAirways This is the last time I use your airline. I promise that!
negative	US Airways	"@USAirways @AmericanAir did I mention I'm a silver preferred member and fly every week (not always with you), and not even a meal voucher?"
negative	US Airways	@usairways Need to change div miles ticket after travel started due to weather advisory. Told not possible unless flight Cancelled Flightled. AnyHelp?
negative	US Airways	@USAirways @AmericanAir I was supposed to get from fresno to pittsburgh by 10pm.  Instead I'm now not getting in until 4pm... tomorrow
negative	US Airways	"@USAirways @AmericanAir I'm stuck in the airport in fresno trying to beat the storm to pittsburgh, and you guys have offered nothing. HORRID"
negative	US Airways	@USAirways hello I have a question for you and your phone lines have jammed
negative	US Airways	@USAirways @AmericanAir u are the worst airline ever figure out the merger #dontmakemegooutside
negative	US Airways	@USAirways Just to follow up here is my experience: http://t.co/WJIiGZtiwg
negative	US Airways	@USAirways / @AmericanAir are incompetent.
negative	US Airways	@USAirways Now the next plane had a broken seat!  My row!  Another hour delay!  #mad
negative	US Airways	"@USAirways how can I make a purchase, you take the money but I don't have a reservation...Explain"
neutral	US Airways	@USAirways @AmericanAir are u paying incedentals? #noworstairline
negative	US Airways	@USAirways @AmericanAir thought u merged but #USAirways sucks #worstever http://t.co/myNZitCovn
positive	US Airways	@USAirways yes I did thank you! They did a great job turning the flight in jan !
negative	US Airways	@USAirways  2 hours on hold and issue still not resolved. hope to make my flight in 12 hours. for every minute of talk = 20 minutes of hold
positive	US Airways	@USAirways connection made. Thanks again this week. #daddyshome
negative	US Airways	@USAirways worst customer service experience ever today. Get it together.
negative	US Airways	@USAirways I know some folks have to use your airlines but doesn't customer service ever matter? I really hate to complain but it's brutal!
negative	US Airways	@USAirways im on the plane not sure what you mean. We are sitting here. It's just one story of failure after another when I fly you guys
negative	US Airways	@USAirways still waiting #brokenpromises #notnice #neveragain #tellyourstory
negative	US Airways	@USAirways your team was just terrifyingly rude to a young mother &amp; her baby trying to check in to a flight from PHX to JWA. Help her out.
negative	US Airways	@USAirways them and @AmericanAir
negative	US Airways	@USAirways rudest crew member experience! Throwing shade and calling out customers. #reachingnewlows
negative	US Airways	@USAirways @AmericanAir terminal E in Miami is still the worst most smelly airport ever. Thanks for nothing.
negative	US Airways	@USAirways I did &amp; was told I asked to many questions. bag might still be on flight 413. Should be easy to check when it lands in Seattle.
negative	US Airways	@USAirways Cancelled Flightled our original flight to aruba. Now on the way home we were told we don't have seats. Never flying @usairways again
negative	US Airways	@USAirways here we go again. Same flight as last week. Delayed already 45 mins. Think the 7:15 can leave PHL before 1:15 am? #waitingagain
negative	US Airways	@USAirways it's not misjudging it's a deliberate strategy. Seen it multiple times on USAir. Makes staff life easier at expens of passengers
negative	US Airways	@USAirways - delayed 1851. Need an extra 5 min to make 1769. Would appreciate a little help again this week.
negative	US Airways	@USAirways stuck on Tarmac for hour an a half and told longer to go and no hotels available when we land in Phoenix #unacceptable #unhappy
negative	US Airways	@USAirways not happening #worstairlineever also Marie Burroughs is the worst customer service rep ever #yourairlinesucks
negative	US Airways	@USAirways technical issues = inefficient computer triage system. Personality/ compassion of operators = not. Sad example of sad company.
negative	US Airways	@USAirways you suck and you ruined my day. And my vacation isn't even until June.
negative	US Airways	"@USAirways will do.  maybe the pre-purchase meal email is because the flight is 9 min short of 3 hours, so I guess there are none offered"
negative	US Airways	"@USAirways yep, check it and my gmail 'Promotions' folder regularly... :-("
neutral	US Airways	@USAirways  is a bag that is   23”L x 9”W x 12”H  allowed as a carry on?
negative	US Airways	@USAirways thanks for nothing
neutral	US Airways	@USAirways there is nothing tonight and I am on the flight now with GOGO internet is there a way that someone could send me a DM or email?
negative	US Airways	@USAirways 2 bad planes &amp; 3 gate changes= lots of exercise. #travelfail let's hope this plane works. I'm tired.
negative	US Airways	"@USAirways Good info, but am already signed up for all options.  None of which sound like they applied to the 'missing' emails."
negative	US Airways	@usairways is there not a faster way to get me to Columbia Sc than making me stay in CLT over night after my delayed flight?
positive	US Airways	@USAirways thank you
negative	US Airways	@usairways and @american please get my plane together before I go to Jetblue
negative	US Airways	"@USAirways it MIGHT have went through. No confirmation. ""Please wait"" then same form."
negative	US Airways	"@USAirways found the tix#, security code not working. Tried a dozen times."
negative	US Airways	"@USAirways Nightmarish customer service. Further to that, as an elite member, I'm appalled."
negative	US Airways	@USAirways I have never been given a number for elite for usair. Only AA. I waited for 3 hours for an answer and by then my seat was gone.
negative	US Airways	@USAirways if you get my bag from E Gate to B Gate at the Charlotte airport before my 6 pm flight (Late Flight cause of yall) I’ll ride US for life
neutral	US Airways	"@USAirways It's a debit card, but I am a Dividend member."
negative	US Airways	@USAirways nothing important to do.  Why was I told to wait in the @AmericanAir line?  #patiencerunningout
neutral	US Airways	@USAirways How do I redeem my pass to the admirals club? I have 1 free visit with my barclay card membership. And can I bring a companion?
neutral	US Airways	@USAirways Almost home ...East Coast Freeze headed to PHL connect AVP TGIF http://t.co/WXowZhpgfL
negative	US Airways	@USAirways @AmericanAir can someone please tell me who I have to talk to #getittogether #findurgrip
negative	US Airways	"Is it insulting that @USAirways @AmericanAir offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip"
negative	US Airways	@USAirways there is a travel advis for nyc and phil PA  -winter weather- but U.S. Air hasn't posted one yet. Can I still change flt wo pen?
negative	US Airways	@USAirways I'm trying to Request Missed Mileage and it keeps saying it can't my flight from 2/13. Then it says call the number.
